Timestamp,Drink_preference,Age_group,Money_drinks,Hours_sleep
4/10/2025 12:12:22,Boba,Younger than 30,0,7
4/10/2025 12:15:17,Coffee,Younger than 30,0,7
4/10/2025 12:17:32,Coffee,Younger than 30,10,8
4/10/2025 12:23:25,Coffee,30 or older,0,4
4/10/2025 12:24:27,Coffee,30 or older,0,8
4/10/2025 12:30:34,Boba,Younger than 30,6,7
4/10/2025 12:36:37,Coffee,30 or older,0,6
4/10/2025 12:42:47,Boba,Younger than 30,7,6
4/10/2025 12:53:40,Coffee,30 or older,6,8
4/10/2025 12:54:38,Boba,Younger than 30,5,8
4/10/2025 12:55:30,Boba,Younger than 30,100,7
4/10/2025 12:59:01,Boba,30 or older,10,6
4/10/2025 12:59:58,Coffee,Younger than 30,30,9
4/10/2025 13:00:58,Coffee,30 or older,10,6
4/10/2025 13:02:00,Boba,30 or older,8,6
4/10/2025 13:02:16,Coffee,Younger than 30,23,7
4/10/2025 13:06:37,Coffee,Younger than 30,8,7.5
4/10/2025 13:06:46,Coffee,30 or older,20,5
4/10/2025 13:13:53,Coffee,Younger than 30,100,4
4/10/2025 13:14:11,Boba,Younger than 30,100,6
4/10/2025 13:14:21,Boba,Younger than 30,0,7
4/10/2025 13:14:23,Coffee,30 or older,100,6
4/10/2025 13:20:04,Boba,Younger than 30,0,7
4/10/2025 13:21:46,Coffee,30 or older,100,2
4/10/2025 13:22:01,Coffee,Younger than 30,100,3
4/10/2025 13:22:16,Coffee,30 or older,10,8
4/10/2025 13:22:16,Coffee,Younger than 30,100,5
4/10/2025 13:26:51,Coffee,Younger than 30,20,8
4/10/2025 13:28:27,Boba,Younger than 30,0,6
4/10/2025 13:30:18,Boba,Younger than 30,7,8
4/10/2025 13:30:44,Boba,Younger than 30,5,6
4/10/2025 13:34:21,Coffee,30 or older,15,3
4/10/2025 13:35:43,Boba,Younger than 30,8,10
4/10/2025 13:36:38,Boba,Younger than 30,6,8
4/10/2025 13:43:06,Boba,Younger than 30,0,8
4/10/2025 13:44:05,Coffee,Younger than 30,30,7
4/10/2025 13:44:15,Coffee,30 or older,25,5
4/10/2025 13:45:48,Coffee,30 or older,6,8
4/10/2025 13:46:37,Coffee,30 or older,40,7
4/10/2025 13:48:54,Boba,Younger than 30,14,6
4/10/2025 13:49:34,Boba,Younger than 30,6,7
4/10/2025 13:50:11,Boba,Younger than 30,6,6
4/10/2025 13:50:20,Coffee,30 or older,20,4
4/10/2025 13:51:38,Coffee,30 or older,15,6
4/10/2025 13:56:55,Coffee,30 or older,10,6
4/10/2025 14:00:35,Boba,Younger than 30,18,5
4/10/2025 14:01:59,Boba,Younger than 30,0,8
4/10/2025 14:13:32,Coffee,30 or older,20,7
4/10/2025 14:13:43,Coffee,Younger than 30,10,6
4/10/2025 14:20:22,Coffee,Younger than 30,15,6
4/10/2025 14:36:17,Coffee,30 or older,0,6
4/10/2025 14:44:11,Boba,30 or older,0,7
4/10/2025 14:45:59,Coffee,30 or older,3,7
4/10/2025 15:14:44,Coffee,30 or older,0,6.5
4/10/2025 15:22:15,Coffee,30 or older,10,7
4/10/2025 15:34:53,Boba,Younger than 30,20,8
4/10/2025 15:50:53,Coffee,30 or older,15,7
4/10/2025 15:57:20,Boba,30 or older,20,6
4/10/2025 16:13:40,Boba,Younger than 30,5.5,7
4/10/2025 16:39:08,Boba,30 or older,40,7
4/10/2025 16:47:12,Boba,30 or older,50,6
